Date,BTC,ETH,BNB,XRP,USDT,DOGE,ADA,BCH,LTC,LINK
2019-08-23,15451030650.0,6249737982.0,164452279.0,934380519.0,16855228119.0,22299027.0,87164791.0,1374366115.0,2191973575.0,50546812.0
2019-08-24,14153856610.0,5826017143.0,165296408.0,964693737.0,15701077262.0,22727727.0,104616408.0,1156287354.0,2227400267.0,59471445.0
2019-08-25,18438654080.0,7207986636.0,277691463.0,1332395984.0,20439272588.0,22974750.0,86216612.0,1400335086.0,3046136697.0,54292215.0
2019-08-26,14762609503.0,6042327402.0,196715449.0,1028940804.0,15741344309.0,21250034.0,38041608.0,1281645070.0,2489689274.0,62275881.0
2019-08-27,17603790323.0,6696604087.0,206092745.0,1275267910.0,20067236222.0,23602879.0,65386760.0,1471533020.0,2883041616.0,59193724.0
2019-08-28,17045878501.0,7129569083.0,200824073.0,1279995807.0,19588460309.0,28641509.0,53919498.0,1515300753.0,3092332444.0,83335306.0
2019-08-29,13595263986.0,5776520220.0,196253457.0,997071647.0,15743697557.0,23809187.0,51959378.0,1333960561.0,2377466438.0,57285240.0
2019-08-30,11454806419.0,5830212249.0,167589166.0,845142390.0,13595017430.0,23927277.0,44165774.0,1188670880.0,2283340831.0,51356763.0
2019-08-31,11445355859.0,5554799576.0,173772205.0,825579908.0,13692453817.0,22742519.0,31928555.0,1053837321.0,2228146663.0,43571942.0
2019-09-01,17248102294.0,6503447137.0,237417710.0,1044772829.0,19393673770.0,25999239.0,42959888.0,1306503215.0,2400017919.0,63004422.0
2019-09-02,19384917989.0,6962728938.0,181166381.0,1162545093.0,20961149310.0,40548612.0,63769390.0,1542378009.0,2816706430.0,80326910.0
2019-09-03,16742664769.0,5938120494.0,148909991.0,1068332805.0,17773100138.0,27623103.0,40737362.0,1054125848.0,2696779274.0,70884788.0
2019-09-04,14551239508.0,5589476516.0,259054353.0,1050490375.0,16117656384.0,32285101.0,47778879.0,1221460127.0,2379080140.0,69409152.0
2019-09-05,19536574783.0,6797611878.0,240129733.0,1063044201.0,21625818728.0,29577777.0,44478145.0,1449262693.0,2595201216.0,72212080.0
